text,filename,,,
"nul · en · to · tre · fire · fem · seks · syv · otte · ni · ti mandag · tirsdag · onsdag · torsdag · fredag · lørdag · søndag — Hvad er klokken? — Klokken er ni. Vi ses i morgen! En uge har syv dage: mandag, tirsdag, onsdag, torsdag, fredag, lørdag og søndag. Lørdag og søndag er weekend. I dag er det tirsdag. I morgen er det onsdag. — Hej! Hvad er klokken? — Klokken er elleve. — Nej, nej! Klokken er tolv! — Okay! Vi ses om en time! — Ja, vi ses! En, to, tre — fire, fem, seks — syv, otte, ni — ti, elleve, tolv! Tolv er et tal, og ti er også et tal. Hvad er klokken i Iran i dag? Og hvad er klokken i Danmark? En god dag har ti gode timer! — Hej! Hvad er klokken nu? — Klokken er fire. — Tak! Vi ses mandag klokken otte! — Ja, vi ses mandag. Farvel! En dag, to dage, syv dage — en uge! I dag er det fredag. I morgen er det lørdag — weekend! En time, to timer, tolv timer. Et tal, to tal. Og tak for i dag! Min uge Jeg går i skole fire dage. Mandag klokken ni, tirsdag klokken ti, onsdag klokken ni og torsdag klokken otte. Fredag er jeg hjemme. Lørdag og søndag er weekend. I dag er det mandag. Klokken er syv nu. Klokken ni er jeg i skolen. Jeg tæller: en, to, tre, fire, fem, seks, syv, otte, ni, ti. Ti dage er en uge og tre dage. I morgen er det tirsdag. Om en time er klokken otte. Vi ses klokken ti! En god uge har syv gode dage.",d0-l03-t.mp3,,,
Hvad er klokken?,d0-l03-c1.mp3,,,
Klokken er syv.,d0-l03-c2.mp3,,,
I dag er det mandag.,d0-l03-c3.mp3,,,
Vi ses i morgen!,d0-l03-c4.mp3,,,
Klokken er tolv.,d0-l03-c5.mp3,,,
Lørdag og søndag er weekend.,d0-l03-c6.mp3,,,
en,d0-l03-v01.mp3,,,
to,d0-l03-v02.mp3,,,
tre,d0-l03-v03.mp3,,,
fire,d0-l03-v04.mp3,,,
fem,d0-l03-v05.mp3,,,
seks,d0-l03-v06.mp3,,,
syv,d0-l03-v07.mp3,,,
otte,d0-l03-v08.mp3,,,
ni,d0-l03-v09.mp3,,,
ti,d0-l03-v10.mp3,,,
klokken,d0-l03-v11.mp3,,,
i dag,d0-l03-v12.mp3,,,
i morgen,d0-l03-v13.mp3,,,
en uge,d0-l03-v14.mp3,,,
elleve,d0-l03-v15.mp3,,,
tolv,d0-l03-v16.mp3,,,
en time,d0-l03-v17.mp3,,,
en dag,d0-l03-v18.mp3,,,
en weekend,d0-l03-v19.mp3,,,
et tal,d0-l03-v20.mp3,,,
at tælle (tæller),d0-l03-v21.mp3,,,
nu,d0-l03-v22.mp3,,,
hjemme,d0-l03-v23.mp3,,,
nul · en · to · tre · fire · fem · seks · syv · otte · ni · ti mandag · tirsdag · onsdag · torsdag · fredag · lørdag · søndag — Hvad er klokken? — Klokken er ni. Vi ses i morgen!,d0-l03-r9.mp3,,,
klokken er ni,d0-l03-l11.mp3,,,
"En uge har syv dage: mandag, tirsdag, onsdag, torsdag, fredag, lørdag og søndag. Lørdag og søndag er weekend.",d0-l03-r12.mp3,,,
en uge har syv dage,d0-l03-l13.mp3,,,
Fredag er jeg hjemme. Lørdag og søndag er weekend.,d0-l03-r16.mp3,,,
"Jeg har en mor, en far og en søster.",d0-l04-a.mp3,,,
"Min familie Jeg hedder Sara. Jeg har en mor, en far og to brødre. Min mor hedder Mina, og min far hedder Ali. Vi er fem i familien. Har du en stor familie? Min bedstemor hedder Ziba. Hun er gammel. Min bedstefar hedder Reza. Han er også gammel. De bor i Iran, og de har et lille hus. Min far er gift med min mor. Mine brødre er unge, og jeg er også ung. Vi bor i Danmark. Jeg taler persisk med min mor og min far, og jeg taler dansk med mine brødre. Og du? Har du en stor familie? Har du brødre? Har du børn? Min familie er stor. Er din familie stor? Omar er gift. Han har en kone og et barn. Har du en kone? Har du en mand? Har du et barn — har du to børn? Jeg har også en bedstemor i Danmark. Hun hedder Karen. Karen har en datter og en søn. Hun har et lille hus og en stor have. Min familie og min bedstemor Karen — vi er en stor familie! Min mor har også en søster. Hun er ung, og hun har to børn. Dialog: Har du en stor familie? — Hej Omar! Har du en stor familie? — Ja! Jeg har en kone og to børn — en datter og en søn. — Hvad hedder din kone? — Hun hedder Aisha. Og du, Sara? Har du børn? — Nej, jeg har ikke børn. Men jeg har to brødre og en søster. — Er din søster gammel? — Nej, hun er ung! Hun går i skole. — Bor din familie i Danmark? — Min mor og min far bor i Iran. Mine brødre bor i Danmark. — Min familie bor her. Min mor er gammel, og hun har et lille hus. — Bor din familie i et hus? — Ja, et lille hus. Og din familie? — Vi bor i Danmark nu. — Din familie er stor og god! — Ja, tak! Vi ses!",d0-l04-t.mp3,,,
Jeg har en bror og en søster.,d0-l04-c1.mp3,,,
Min mor hedder Mina.,d0-l04-c2.mp3,,,
Har du børn?,d0-l04-c3.mp3,,,
Mit barn er tre år.,d0-l04-c4.mp3,,,
Min bedstemor er gammel.,d0-l04-c5.mp3,,,
Min far er gift med min mor.,d0-l04-c6.mp3,,,
en familie,d0-l04-v01.mp3,,,
en mor,d0-l04-v02.mp3,,,
en far,d0-l04-v03.mp3,,,
en søster,d0-l04-v04.mp3,,,
en bror,d0-l04-v05.mp3,,,
en datter,d0-l04-v06.mp3,,,
en søn,d0-l04-v07.mp3,,,
et barn,d0-l04-v08.mp3,,,
børn,d0-l04-v09.mp3,,,
en mand,d0-l04-v10.mp3,,,
en kone,d0-l04-v11.mp3,,,
forældre,d0-l04-v12.mp3,,,
at have (har),d0-l04-v13.mp3,,,
stor,d0-l04-v14.mp3,,,
en bedstemor,d0-l04-v15.mp3,,,
en bedstefar,d0-l04-v16.mp3,,,
gift,d0-l04-v17.mp3,,,
ung,d0-l04-v18.mp3,,,
gammel,d0-l04-v19.mp3,,,
lille,d0-l04-v20.mp3,,,
din / dit / dine,d0-l04-v21.mp3,,,
ikke,d0-l04-v22.mp3,,,
her,d0-l04-v23.mp3,,,
min familie,d0-l04-l7.mp3,,,
"Min familie Jeg hedder Sara. Jeg har en mor, en far og to brødre. Min mor hedder Mina, og min far hedder Ali. Vi er fem i familien. Har du en stor familie?",d0-l04-r9.mp3,,,
har du en stor familie,d0-l04-l11.mp3,,,
"Min bedstemor hedder Ziba. Hun er gammel. Min bedstefar hedder Reza. Han er også gammel. De bor i Iran, og de har et lille hus.",d0-l04-r12.mp3,,,
min bedstemor er gammel,d0-l04-l13.mp3,,,
"Nej, jeg har ikke børn. Men jeg har to brødre og en søster.",d0-l04-r16.mp3,,,
Jeg vil gerne have en kaffe. Hvad koster det?,d0-l05-a.mp3,,,
"I bageriet — Goddag! Jeg vil gerne have et brød og to kager. — Ja tak. Andet? — Nej tak. Hvad koster det? — Det koster femogtyve kroner. — Værsgo! — Tak. Hav en god dag! Jeg køber mad i dag. Jeg køber frugt: et æble og en banan. Jeg køber også fisk og kød. Kød er dyrt, og frugt er billigt. — Godmorgen! Jeg vil gerne have kaffe med mælk og sukker. — Ja tak. Andet? — Ja, et æble og en banan, tak. Hvad koster det? — Det koster tyve kroner. — Værsgo! — Tak. Hav en god dag! I et bageri køber jeg brød og kager. Brød er billigt, og kager er dyre. Jeg drikker kaffe med mælk, og jeg drikker te med sukker. — Goddag! Jeg vil gerne have to æg, en ost og mælk. — Ja tak. Andet? — Ja, fisk og frugt, tak. Hvad koster det? — Det koster femogtyve kroner. — Værsgo! — Tak. Hav en god dag! Te er billigt, og vand er billigt. Kød er dyrt, og fisk er også dyrt. Jeg køber frugt og brød i dag — og en kage til min mor! I butikken I dag køber jeg mad i en butik. Jeg tager en liter mælk, et brød og seks æg. En liter mælk koster ti kroner. Et brød koster tolv kroner, og æg er billige. Jeg tager også en ost. En ost er dyr. Min mor køber frugt: fire æbler og to bananer. Frugt er billig. Vi køber ikke kød i dag. Kød er dyrt! Jeg har penge: tyve kroner. «Hvad koster det?» — «Det koster tyve kroner.» Jeg drikker kaffe med mælk hjemme, og min mor drikker te med sukker. Det er en god dag i butikken!",d0-l05-t.mp3,,,
Jeg vil gerne have et brød.,d0-l05-c1.mp3,,,
Hvad koster det?,d0-l05-c2.mp3,,,
Det koster ti kroner.,d0-l05-c3.mp3,,,
Det er billigt!,d0-l05-c4.mp3,,,
Jeg køber frugt: et æble og en banan.,d0-l05-c5.mp3,,,
"Kød er dyrt, og frugt er billigt.",d0-l05-c6.mp3,,,
et brød,d0-l05-v01.mp3,,,
mælk,d0-l05-v02.mp3,,,
en ost,d0-l05-v03.mp3,,,
et æg,d0-l05-v04.mp3,,,
kaffe,d0-l05-v05.mp3,,,
te,d0-l05-v06.mp3,,,
vand,d0-l05-v07.mp3,,,
en kage,d0-l05-v08.mp3,,,
at købe,d0-l05-v09.mp3,,,
det koster,d0-l05-v10.mp3,,,
penge,d0-l05-v11.mp3,,,
en krone,d0-l05-v12.mp3,,,
billig,d0-l05-v13.mp3,,,
dyr,d0-l05-v14.mp3,,,
et bageri,d0-l05-v15.mp3,,,
frugt,d0-l05-v16.mp3,,,
en banan,d0-l05-v17.mp3,,,
fisk,d0-l05-v18.mp3,,,
kød,d0-l05-v19.mp3,,,
sukker,d0-l05-v20.mp3,,,
en butik,d0-l05-v21.mp3,,,
en liter,d0-l05-v22.mp3,,,
at tage (tager),d0-l05-v23.mp3,,,
I bageriet — Goddag! Jeg vil gerne have et brød og to kager. — Ja tak. Andet? — Nej tak. Hvad koster det? — Det koster femogtyve kroner. — Værsgo! — Tak. Hav en god dag!,d0-l05-r9.mp3,,,
hvad koster det,d0-l05-l11.mp3,,,
Jeg køber mad i dag. Jeg køber frugt: et æble og en banan. Jeg køber også fisk og kød.,d0-l05-r12.mp3,,,
kaffe med mælk og sukker,d0-l05-l13.mp3,,,
En liter mælk koster ti kroner. Et brød koster tolv kroner.,d0-l05-r16.mp3,,,
en liter mælk,d0-l05-l19.mp3,,,
Jeg bor i en lejlighed. Der er tre værelser.,d0-l06-a.mp3,,,
"Min lejlighed Jeg bor i en lejlighed i Aarhus. Der er tre værelser, et køkken og et badeværelse. Stuen er stor, og der er to vinduer. Jeg har et bord, fire stole og en seng. I stuen er der en sofa og en lampe. I køkkenet er der et køleskab, et bord og fire stole. Jeg lejer min lejlighed. Min lejlighed er billig. Min bror bor i et hus med to etager. Der er en have, og haven er stor. Hvor bor du? Bor du i et hus? Har du en have? I mit værelse er der en seng, et bord og en lampe. Der er også to vinduer, og der er en dør. Mit køkken er lille, og min stue er stor. I stuen er der to vinduer og en dør. Der er også et bord og en lampe. — Hvor bor du? — Jeg bor i et hus i København. Der er fem værelser og to etager. Og du? — Jeg bor i en lejlighed i Aarhus. Der er to værelser og en stor stue. — Har du en have? — Ja! Haven er lille. Et hus, en lejlighed, et værelse — hvor bor du? Min seng er stor, og mit værelse er godt. Jeg bor godt — og du? Bor du godt? Dialog: Min nye lejlighed — Hej Sara! Hvor bor du nu? — Jeg bor i en ny lejlighed i Aarhus! — Er den stor? — Der er to værelser, en stue og et lille køkken. — Er der et badeværelse? — Ja, et lille badeværelse med et vindue. — Har du en seng og et bord? — Ja! I mit værelse er der en seng, et bord og en lampe. — Er der en sofa i stuen? — Ja, en stor sofa. Og der er to vinduer. Jeg lejer min lejlighed. — Er den dyr? — Nej, den er billig! — Har du en have? — Nej, der er ikke en have. — Har du en god nabo? — Ja, min nabo hedder Karen. Hun er god! — Godt! Velkommen til Aarhus!",d0-l06-t.mp3,,,
Jeg bor i en lejlighed.,d0-l06-c1.mp3,,,
Hvor bor du?,d0-l06-c2.mp3,,,
Der er to værelser.,d0-l06-c3.mp3,,,
Køkkenet er stort.,d0-l06-c4.mp3,,,
Der er en sofa i stuen.,d0-l06-c5.mp3,,,
Jeg lejer min lejlighed.,d0-l06-c6.mp3,,,
at bo,d0-l06-v01.mp3,,,
en lejlighed,d0-l06-v03.mp3,,,
et værelse,d0-l06-v04.mp3,,,
et køkken,d0-l06-v05.mp3,,,
et badeværelse,d0-l06-v06.mp3,,,
en stue,d0-l06-v07.mp3,,,
en dør,d0-l06-v08.mp3,,,
et vindue,d0-l06-v09.mp3,,,
et bord,d0-l06-v10.mp3,,,
en stol,d0-l06-v11.mp3,,,
en seng,d0-l06-v12.mp3,,,
der er,d0-l06-v13.mp3,,,
hvor,d0-l06-v14.mp3,,,
en sofa,d0-l06-v15.mp3,,,
en lampe,d0-l06-v16.mp3,,,
et køleskab,d0-l06-v17.mp3,,,
en have,d0-l06-v18.mp3,,,
en etage,d0-l06-v19.mp3,,,
at leje (lejer),d0-l06-v20.mp3,,,
ny,d0-l06-v21.mp3,,,
den / det,d0-l06-v22.mp3,,,
en nabo,d0-l06-v23.mp3,,,
"Min lejlighed Jeg bor i en lejlighed i Aarhus. Der er tre værelser, et køkken og et badeværelse. Stuen er stor, og der er to vinduer. Jeg har et bord, fire stole og en seng.",d0-l06-r9.mp3,,,
der er tre værelser,d0-l06-l11.mp3,,,
"I stuen er der en sofa og en lampe. I køkkenet er der et køleskab, et bord og fire stole.",d0-l06-r12.mp3,,,
der er en sofa i stuen,d0-l06-l13.mp3,,,
"Der er to værelser, en stue og et lille køkken.",d0-l06-r16.mp3,,,
"Gå ligeud, og så til højre.",d0-l07-a.mp3,,,
"På gaden — Undskyld! Hvor er biblioteket? — Gå ligeud, og så til venstre ved banken. — Er det langt? — Nej, fem minutter. — Mange tak! — Det var så lidt. Byen har et torv og en park. Ved torvet ligger et hotel og en kirke. Kirken er gammel, og parken er stor. Bussen kører til stationen. Toget kører til København. Supermarkedet ligger på vejen til stationen, og apoteket ligger ved torvet. — Undskyld, hvor ligger parken? — Gå ligeud til torvet, og så til højre. — Er det langt? — Nej, to minutter. — Mange tak! — Selv tak! — Undskyld, hvor er supermarkedet? — Gå til venstre ved kirken, og så ligeud. — Er det langt? — Nej, det ligger ved parken. — Mange tak! Jeg har en cykel. Jeg kører til torvet på min cykel. Ved torvet er der også et bibliotek og en bank. Banken ligger til højre, og biblioteket ligger til venstre. Toget til København kører klokken ti, og bussen kører klokken ni. Min by har en god park og et stort torv. Vejen til stationen Amir bor i en lille by. Byen har et torv, en park og en gammel kirke. I dag går Amir til stationen. Han går ligeud til torvet. Ved torvet ligger banken og apoteket. Han går til højre ved banken. Nu ligger stationen ved parken. Det er ikke langt — ti minutter. Ved stationen er der en bus og et tog. Bussen kører til biblioteket, og toget kører til København. Amir tager toget. Toget kører klokken ni. Amir er der klokken otte. Han har en bog og et æble. En god tur til København!",d0-l07-t.mp3,,,
"Undskyld, hvor er stationen?",d0-l07-c1.mp3,,,
Gå ligeud.,d0-l07-c2.mp3,,,
Det er til højre.,d0-l07-c3.mp3,,,
Banken ligger til venstre.,d0-l07-c4.mp3,,,
Bussen kører til stationen.,d0-l07-c5.mp3,,,
Ved torvet ligger en kirke.,d0-l07-c6.mp3,,,
en by,d0-l07-v01.mp3,,,
en station,d0-l07-v02.mp3,,,
en bus,d0-l07-v03.mp3,,,
et tog,d0-l07-v04.mp3,,,
en cykel,d0-l07-v05.mp3,,,
en bank,d0-l07-v06.mp3,,,
et apotek,d0-l07-v07.mp3,,,
et bibliotek,d0-l07-v08.mp3,,,
et supermarked,d0-l07-v09.mp3,,,
til højre,d0-l07-v10.mp3,,,
til venstre,d0-l07-v11.mp3,,,
ligeud,d0-l07-v12.mp3,,,
at ligge (ligger),d0-l07-v13.mp3,,,
langt,d0-l07-v14.mp3,,,
et torv,d0-l07-v15.mp3,,,
en park,d0-l07-v16.mp3,,,
et hotel,d0-l07-v17.mp3,,,
en kirke,d0-l07-v18.mp3,,,
en vej,d0-l07-v19.mp3,,,
at køre (kører),d0-l07-v20.mp3,,,
ved,d0-l07-v21.mp3,,,
et minut (minutter),d0-l07-v22.mp3,,,
en tur,d0-l07-v23.mp3,,,
"På gaden — Undskyld! Hvor er biblioteket? — Gå ligeud, og så til venstre ved banken. — Er det langt? — Nej, fem minutter. — Mange tak! — Det var så lidt.",d0-l07-r9.mp3,,,
gå ligeud,d0-l07-l11.mp3,,,
"Byen har et torv og en park. Ved torvet ligger et hotel og en kirke. Kirken er gammel, og parken er stor.",d0-l07-r12.mp3,,,
bussen kører til stationen,d0-l07-l13.mp3,,,
Han går til højre ved banken. Nu ligger stationen ved parken.,d0-l07-r16.mp3,,,
Jeg har ondt i hovedet. Jeg er syg.,d0-l08-a.mp3,,,
"Hos lægen — Goddag. Hvad fejler du? — Jeg har ondt i hovedet og i maven. — Har du feber? — Ja, lidt. — Du skal drikke vand og sove. God bedring! — Tak! Jeg har også ondt i halsen og i en tand. Jeg er træt, og jeg har feber. Jeg køber medicin på apoteket. Kroppen har et hoved, to arme og to ben. Et øje — to øjne. Et øre — to ører. En hånd — to hænder. En fod — to fødder. I dag er jeg rask igen. Jeg drikker vand og te, og jeg sover. Det er godt! — Goddag! Hvad fejler du? — Jeg har ondt i ryggen og i en fod. — Har du feber? — Nej. — Godt. Du skal sove og drikke te. God bedring! — Tak! Min bror er syg i dag. Han har ondt i hovedet, og han er træt. Han sover i dag. I morgen er han rask igen. Et hoved, en mave, en ryg, en arm, et ben, en hånd, en fod, en tand, en hals, et øje, et øre — det er kroppen! Har du ondt? Nej? Godt — du er rask! Jeg sover godt, og i morgen er jeg rask igen. God bedring! Dialog: På apoteket — Goddag! Hvad fejler du? — Jeg har ondt i halsen. — Har du feber? — Ja, lidt. Jeg er også træt. — Her er medicin. Du skal drikke vand og te. — Hvad koster medicinen? — Tyve kroner. — Tak! Og min søn har ondt i et øre. — Et øre? Han skal se en læge. — Er det langt til lægen? — Nej, lægen ligger ved torvet. Fem minutter ligeud. — Sover du godt? — Nej, jeg sover ikke godt. Jeg har ondt i ryggen. Og jeg har ondt i næsen! — En næse, et øre, et øje — hele hovedet! Du skal have en god seng. — Ja! En god seng og god medicin — og i morgen er jeg rask! — God bedring! — Mange tak!",d0-l08-t.mp3,,,
Jeg har ondt i hovedet.,d0-l08-c1.mp3,,,
Jeg er syg.,d0-l08-c2.mp3,,,
Hun er rask igen.,d0-l08-c3.mp3,,,
Jeg skal til lægen.,d0-l08-c4.mp3,,,
Jeg har ondt i halsen.,d0-l08-c5.mp3,,,
Jeg er træt.,d0-l08-c6.mp3,,,
en krop,d0-l08-v01.mp3,,,
et hoved,d0-l08-v02.mp3,,,
en mave,d0-l08-v03.mp3,,,
en ryg,d0-l08-v04.mp3,,,
et ben,d0-l08-v05.mp3,,,
en arm,d0-l08-v06.mp3,,,
en hånd,d0-l08-v07.mp3,,,
en fod,d0-l08-v08.mp3,,,
syg,d0-l08-v09.mp3,,,
rask,d0-l08-v10.mp3,,,
ondt,d0-l08-v11.mp3,,,
en læge,d0-l08-v12.mp3,,,
feber,d0-l08-v13.mp3,,,
god bedring,d0-l08-v14.mp3,,,
en tand,d0-l08-v15.mp3,,,
en hals,d0-l08-v16.mp3,,,
et øje,d0-l08-v17.mp3,,,
et øre,d0-l08-v18.mp3,,,
træt,d0-l08-v19.mp3,,,
medicin,d0-l08-v20.mp3,,,
en næse,d0-l08-v21.mp3,,,
at se (ser),d0-l08-v22.mp3,,,
Hvad fejler du?,d0-l08-v23.mp3,,,
"Hos lægen — Goddag. Hvad fejler du? — Jeg har ondt i hovedet og i maven. — Har du feber? — Ja, lidt. — Du skal drikke vand og sove. God bedring! — Tak!",d0-l08-r9.mp3,,,
jeg har ondt i hovedet,d0-l08-l11.mp3,,,
"Jeg har også ondt i halsen og i en tand. Jeg er træt, og jeg har feber. Jeg køber medicin på apoteket.",d0-l08-r12.mp3,,,
jeg er træt,d0-l08-l13.mp3,,,
"— Goddag! Jeg har ondt i halsen. — Har du feber? — Ja, lidt.",d0-l08-r16.mp3,,,
Om morgenen drikker jeg kaffe.,d0-l09-a.mp3,,,
"Min hverdag Jeg står op klokken syv og spiser morgenmad. Om morgenen drikker jeg kaffe. Jeg arbejder fra otte til fire. Om aftenen læser jeg en bog, og jeg sover klokken elleve. Jeg cykler til mit arbejde klokken syv. Klokken tolv spiser jeg frokost og har en pause. Klokken fire cykler jeg hjem. Om morgenen står jeg tidligt op. Jeg drikker altid te om aftenen, og jeg drikker aldrig kaffe om aftenen. Om aftenen læser jeg en bog. Jeg sover klokken ti — det er tidligt! Min bror sover sent. Han læser og arbejder om aftenen. Om morgenen spiser jeg morgenmad, og jeg drikker kaffe med mælk. Klokken otte arbejder jeg. Klokken ti har jeg en pause, og jeg drikker te. — Står du tidligt op? — Ja, jeg står op klokken seks. Det er tidligt! — Og hvad spiser du om morgenen? — Jeg spiser brød og et æg. Om aftenen spiser vi aftensmad klokken seks. Om aftenen læser jeg, og klokken ti sover jeg. En god dag! Dialog: Din hverdag — Står du tidligt op? — Ja, jeg står op klokken seks. Og du? — Jeg står op klokken otte. Om morgenen drikker jeg kaffe. — Spiser du morgenmad? — Ja, jeg spiser brød og et æg. — Hvad spiser du klokken tolv? — Jeg spiser frokost og har en pause. — Arbejder du om aftenen? — Nej, om aftenen læser jeg en bog. Jeg drikker te, og jeg sover klokken ti. — Sover du altid klokken ti? — Ja, altid! Jeg drikker aldrig kaffe om aftenen. — Jeg cykler hjem klokken fire. Om aftenen spiser vi aftensmad klokken seks. Vi læser sammen om aftenen. — En god hverdag!",d0-l09-t.mp3,,,
at stå op,d0-l09-v01.mp3,,,
